Time,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
0.0,5.0,7.0,6.0,8.0,2.0
0.002,4.9605735065723895,6.876010755100821,5.931910468427485,7.948890484160067,1.9691286690584107
0.004,4.842915805643155,6.50843540121776,5.7291872684798575,7.796214982292617,1.8774677153077481
0.006,4.648882429441256,5.910295478514105,5.3964315093982265,7.543924287142916,1.7278468343856705
0.008,4.381533400219318,5.102780391949881,4.941195585770565,7.195242012530969,1.5248850220228958
0.01,4.045084971874737,4.114496766047312,4.373811764528469,6.754623404016121,1.2748479794973795
0.012,3.644843137107058,2.9804550409555084,3.707157678542006,6.227698412536188,0.9854546830965831
0.014,3.1871199487434487,1.7408292101539846,2.9563640492897494,5.6211997583907936,0.6656390890459734
0.016,2.6791339748949827,0.4395336367051947,2.1384712722795047,4.942876904722675,0.32527433038976744
0.018000000000000002,2.1288964578253635,-0.8773326349501306,1.272042659532327,4.201397039690365,-0.025132079766705305
0.02,1.5450849718747373,-2.1631189606246313,0.3767431171758798,3.4062343325205813,-0.3747626291714492
0.022,0.9369065729286237,-3.372275718712005,-0.5271071793044578,2.567548878457677,-0.7128237574265013
0.024,0.3139525976465665,-4.461967928240828,-1.4189939821423478,1.696056879376438,-1.028879067563013
0.026000000000000002,-0.313952597646567,-5.393592699430524,-2.2786745731308073,0.8028937188097193,-1.3131715115059133
0.028,-0.936906572928623,-6.134146760307044,-3.0866372026890394,-0.10052831906682122,-1.5569246031340467
0.03,-1.5450849718747368,-6.657395614066074,-3.8245439384921385,-1.0026658685144332,-1.752613360087727
0.032,-2.1288964578253635,-6.944802909201345,-4.475646872545092,-1.8919919761897972,-1.8941966099894885
0.034,-2.6791339748949845,-6.986187098997901,-5.0251682402528495,-2.7571433853961365,-1.977303489475828
0.036000000000000004,-3.1871199487434487,-6.7800821279004175,-5.460635824109975,-3.58706572872026,-1.9993683785665999
0.038,-3.6448431371070567,-6.3337893672621375,-5.772166029516515,-4.371154773874152,-1.9597101047684937
0.04,-4.045084971874736,-5.663118960624632,-5.952688207886867,-5.099391917989518,-1.859552971776503
0.042,-4.381533400219318,-4.791829741500822,-5.9981051356998,-5.7624721991032555,-1.7019889635893837
0.044,-4.648882429441256,-3.75078756485298,-5.907386007175233,-6.351923189182681,-1.4918822908483644
0.046,-4.842915805643155,-2.5768718687927503,-5.682589829968466,-6.860213249549217,-1.2357192261806695
0.048,-4.9605735065723895,-1.3116692021000724,-5.328818692881267,-7.280847765479965,-0.9414078643306649
0.05,-5.0,-1.2858791391047208e-15,-4.854101966249685,-7.608452130361228,-0.6180339887498951
0.052000000000000005,-4.9605735065723895,1.3116692021000698,-4.269214063255711,-7.838840419073975,-0.27558058136927527
